name,typ,node,maxcap,deratef_2016,deratef_1976,deratef_1977,deratef_1978,deratef_1979,deratef_1980,deratef_1981,deratef_1982,deratef_1983,deratef_1984,deratef_1985,deratef_1986,deratef_1987,deratef_1988,deratef_1989,deratef_1990,deratef_1991,deratef_1992,deratef_1993,deratef_1994,deratef_1995,deratef_1996,deratef_1997,deratef_1998,deratef_1999,deratef_2000,deratef_2001,deratef_2002,deratef_2003,deratef_2004,deratef_2005
MitrBiopowerDanChang2,biomass_st,SuphanBuri,96.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AmphurBiomass1,biomass_st,SuratThani,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UdonThaniGt2,oil_gt,UdonThani1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wangnoiu1,gas_cc,WangNoi,651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wangnoiu2,gas_cc,WangNoi,651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wangnoiu3,gas_cc,WangNoi,729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wangnoiu4,gas_cc,WangNoi,800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NorthBangkok2Sc1,wsth_st,NorthBangkok,262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
304Ipnppa9U1,biomass_st,304IPNPPA9,100,1,1,0.65,0.85,0.59,1,1,1,1,0.84,1,1,0.8,1,1,1,0.61,0.39,0.79,0.84,1,0.93,0.64,0.61,1,1,0.74,0.84,1,0.58,0.52
304Ipnppa9U2,biomass_st,304IPNPPA9,150,1,1,0.65,0.85,0.59,1,1,1,1,0.84,1,1,0.8,1,1,1,0.61,0.39,0.79,0.84,1,0.93,0.64,0.61,1,1,0.74,0.84,1,0.58,0.52
Hongsaligniteu1,coal_imp,HongsaLignite,626,1,1,1,1,0.83,1,1,1,1,0.86,0.93,1,0.67,0.67,0.89,1,0.73,0.68,0.67,1,1,0.83,0.75,0.79,0.98,0.9,1,1,0.6,1,1
